descripcion,configuracion,resp_tot_diag,sec_sol_id,res_pro,detalle_solucion_id,tip_pro
¿Dos o más personas comparten cama y no son pareja?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,8,1,,1
"¿Algún miembro de la familia ha sufrido algún accidente  como quemadura, corte o intoxicación en la cocina?","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,9,1,,1
¿Alguna vez ha limpiado o revisado su estufa? (ante ausencia de estufa marque N/A),"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,10,2,,1
¿Alguien de su familia se ha quemado o intoxicado con la estufa?  (ante ausencia de estufa marque N/A),"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,10,1,,1
"¿Los menores de edad pueden sacar  o alcanzar medicamientos, cloro, detergentes, cuchillos, tijeras u otros? (Si no existen  menores en el hogar marcar N/A)","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,11,1,,1
¿Tiene algún mueble en mal estado que pueda presentar riesgos en la vivienda o su entorno?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,11,1,,1
"¿Los animales domésticos y/o de granja habitan fuera de la vivienda? (Si no posee animales, marque N/A)","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,12,2,,1
¿Su familia se siente segura en su vivienda?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,13,2,,1
¿Pueden desarrollar actividades en su patio o al exterior de su vivienda en toda época del año? (Si no posee patio marque N/A),"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,14,2,,1
Existencia de una fuente de agua potable. (de consumo seguro),"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,1,2
"Existencia de un sistema de captación de agua seguro, adecuado y consumible.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,2,2
Existencia de suficiente capacidad de almacenaje de agua potable. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,3,2
Existencia de sistema de traslado y distribución de agua en buen estado.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,4,2
Existencia de artefactos y llaves  en funcionamiento y buen estado. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,5,2
"Existencia de un sistema seguro de agua caliente. (Calefón, termocañón, etc)","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,15,2,6,2
Existencia de un recinto de baño adecuado y buen estado.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,16,2,7,2
Existencia de sistema de eliminación de aguas grises y excretas higiénico.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,16,2,8,2
Existencia de artefactos de excretas en funcionamiento y buen estado. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,16,2,9,2
Existencia de un sistema eléctrico operativo en toda la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,17,2,10,2
Existencia de sistema eléctrico seguro y en buen estado.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,17,2,11,2
"Vivienda con estructura (pisos, muros o techo) en buen estado.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,18,2,12,2
Vivienda con separaciones entre recintos adecuada y con privacidad.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,18,2,13,2
Vivienda con revestimientos en buen estado y sin filtraciones.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,18,2,14,2
Condiciones adecuadas de aislación térmica e hídrica en toda la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,18,2,15,2
Buena condición de iluminación y/o ventilación natural en todos los recintos. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,18,2,16,2
Existencia de recintos para dormir habitables y sin hacinamiento.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,19,2,17,2
"Existencia de recintos para comer, cocinar y estar habitables y en buen estado.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,19,2,18,2
"Existencia de un recinto adecuado, seguro y suficiente para realizar la actividad productiva de existir. ","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,20,2,19,2
Existencia de mobiliario productivo pertinente y suficiente para actividad productiva de existir,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,20,2,20,2
Factibilidad de desplazarse entre los recintos de la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,21,2,21,2
Factibilidad de acceder a todos los recintos.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,21,2,22,2
"Factibilidad de alcanzar y usar interruptores, manillas, closet y repisas.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,21,2,23,2
Existencia de camas en buen estado para todos los integrantes de la familia. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,22,2,24,2
Existencia de colchón en buen estado para todos los integrantes de la familia. ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,22,2,25,2
Existencia de  equipamiento de camas completo y en buen estado.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,22,2,26,2
Disponibilidad de artefacto para cocinar en buen estado.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,23,2,27,22
"Disponibilidad de batería de cocina (ollas, sartén, tetera) para preparar alimentos en buen estado.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,23,2,28,2
"Disponibilidad de utensilios para comer (vajilla, cubiertos, vasos).","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,23,2,29,2
Existencia de un artefacto para calefacción seguro y sin contaminación.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,24,2,30,2
Existencia de un sistema para calefacción seguro y sin contaminación.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,24,2,31,2
"Disponibilidad de mobiliario para estudiar (escritorio,sillas).","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,25,2,32,2
"Disponibilidad de mobiliario para guardar (repisas, estantes, closet).","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,25,2,33,2
"Disponibilidad de mobiliario para comer (mesa, sillas).","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,25,2,34,2
Existencia de un sistema de eliminación de residuos periódico.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,26,2,35,2
"Existencia de un sitio y una vivienda sin basuras, agentes tóxicos y plagas.","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,26,2,36,2
Existencia de un manejo sanitario responsable de animales.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,26,2,37,2
Existencia de circulaciones para un desplazamiento adecuado a la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,27,2,38,2
Condiciones topográficas sin riesgo de derrumbe o anegamiento.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,27,2,39,2
Disponibilidad de elementos de protección y seguridad exteriores a la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,27,2,40,2
Existencia de árboles o espacios verdes en el sitio de la vivienda.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,28,2,41,2
Existencia de espacios exteriores habilitados para otras actividades.,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,28,2,42,2
